,Description,Chromosome.Name,Gene.Start..bp.,Gene.End..bp.,Associated.Gene.Name,Gene.Biotype
ENSG00000233215,,21,23381263,23470778,AP000472.2,lincRNA
ENSG00000184856,long intergenic non-protein coding RNA 308 [Source:HGNC Symbol;Acc:16023],21,23470936,23488847,LINC00308,lincRNA
ENSG00000227911,,13,33907816,33909414,RP11-141M1.1,lincRNA
ENSG00000237699,,13,114580581,114582349,RP11-199F6.4,lincRNA
ENSG00000230490,,13,33929343,34250905,RP11-141M1.3,lincRNA
ENSG00000226921,long intergenic non-protein coding RNA 454 [Source:HGNC Symbol;Acc:42802],13,114581673,114586624,LINC00454,lincRNA
ENSG00000234535,,13,34185104,34185659,RP11-37L2.1,lincRNA
ENSG00000232986,,13,34231573,34234065,RP11-179A7.2,lincRNA
ENSG00000229373,long intergenic non-protein coding RNA 452 [Source:HGNC Symbol;Acc:42800],13,114586640,114626485,LINC00452,lincRNA
ENSG00000215405,golgin A6 family-like 6 [Source:HGNC Symbol;Acc:37225],15,20737094,20747114,GOLGA6L6,protein_coding
ENSG00000225179,long intergenic non-protein coding RNA 457 [Source:HGNC Symbol;Acc:42805],13,35009587,35214822,LINC00457,lincRNA
ENSG00000260910,long intergenic non-protein coding RNA 565 [Source:HGNC Symbol;Acc:43709],13,114629487,114631817,LINC00565,lincRNA
ENSG00000226043,,21,23582258,23793139,AP000705.7,lincRNA
ENSG00000261728,,13,35499971,35502213,RP11-307O13.1,lincRNA
ENSG00000268343,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0QZ11],15,21004687,21005367,AC012414.1,protein_coding
ENSG00000236036,long intergenic non-protein coding RNA 445 [Source:HGNC Symbol;Acc:42782],13,36271661,36273393,LINC00445,lincRNA
ENSG00000230031,"POTE ankyrin domain family, member B2 [Source:HGNC Symbol;Acc:48327]",15,21040701,21071643,POTEB2,protein_coding
ENSG00000234034,,21,23872924,23892377,AP000959.2,lincRNA
ENSG00000230390,long intergenic non-protein coding RNA 1048 [Source:HGNC Symbol;Acc:49042],13,38055604,38058906,LINC01048,lincRNA
ENSG00000230972,,21,24437813,24503528,AP001255.2,lincRNA
ENSG00000223685,long intergenic non-protein coding RNA 571 [Source:HGNC Symbol;Acc:43721],13,38624954,38717369,LINC00571,lincRNA
ENSG00000236354,long intergenic non-protein coding RNA 437 [Source:HGNC Symbol;Acc:42772],13,39107480,39119436,LINC00437,lincRNA
ENSG00000229437,long intergenic non-protein coding RNA 366 [Source:HGNC Symbol;Acc:42688],13,39150777,39153131,LINC00366,lincRNA
ENSG00000228592,,21,24733426,24757182,AP000459.4,lincRNA
ENSG00000138593,SECIS binding protein 2-like [Source:HGNC Symbol;Acc:28997],15,49280673,49338760,SECISBP2L,protein_coding
ENSG00000230710,long intergenic non-protein coding RNA 332 [Source:HGNC Symbol;Acc:42049],13,40755946,40763165,LINC00332,lincRNA
ENSG00000268531,,15,22011370,22012050,DKFZP547L112,protein_coding
ENSG00000230058,,13,40918094,40924440,RP11-172E9.2,lincRNA
ENSG00000215483,long intergenic non-protein coding RNA 598 [Source:HGNC Symbol;Acc:42770],13,41025131,41055143,LINC00598,lincRNA
ENSG00000233917,"POTE ankyrin domain family, member B [Source:HGNC Symbol;Acc:33734]",15,22051853,22083227,POTEB,protein_coding
ENSG00000166157,transmembrane phosphatase with tensin homology [Source:HGNC Symbol;Acc:12023],21,10906201,11029719,TPTE,protein_coding
ENSG00000227716,,21,24849960,24863043,AP000459.7,lincRNA
ENSG00000231986,,21,25261114,25262857,AP000474.1,lincRNA
ENSG00000235564,,21,25333220,25339588,AP000477.2,lincRNA
ENSG00000226996,,21,25415572,25422601,AP000477.3,lincRNA
ENSG00000264695,,18,22069339,22071044,RP11-178F10.2,lincRNA
ENSG00000224018,,21,25527484,25560655,AP000470.2,lincRNA
ENSG00000266489,,18,22096847,22097970,RP11-178F10.3,lincRNA
ENSG00000224832,,21,25676863,25693690,AP000469.2,lincRNA
ENSG00000237484,,21,25801054,25920256,AP000476.1,lincRNA
ENSG00000265485,,18,22208146,22242162,RP11-449D8.1,lincRNA
ENSG00000263553,,18,22253127,22254312,RP11-449D8.2,lincRNA
ENSG00000266573,,18,22305745,22509040,RP11-449D8.5,lincRNA
ENSG00000264345,,18,22513451,22567646,RP11-958F21.1,lincRNA
ENSG00000265552,,18,22635564,22636724,RP11-958F21.3,lincRNA
ENSG00000229546,long intergenic non-protein coding RNA 428 [Source:HGNC Symbol;Acc:42763],13,43416550,43417023,LINC00428,lincRNA
ENSG00000256715,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F5GZX1],21,14741931,14745386,AL050302.1,protein_coding
ENSG00000229928,long intergenic non-protein coding RNA 400 [Source:HGNC Symbol;Acc:42729],13,43732767,43733602,LINC00400,lincRNA
ENSG00000238189,ENOX1 antisense RNA 2 [Source:HGNC Symbol;Acc:42397],13,44032601,44033259,ENOX1-AS2,lincRNA
ENSG00000233821,ENOX1 antisense RNA 1 [Source:HGNC Symbol;Acc:42396],13,44118054,44122192,ENOX1-AS1,lincRNA
ENSG00000263862,,18,24002959,24006065,RP11-107K17.1,lincRNA
ENSG00000166351,"POTE ankyrin domain family, member D [Source:HGNC Symbol;Acc:23822]",21,14982498,15013906,POTED,protein_coding
ENSG00000233725,long intergenic non-protein coding RNA 284 [Source:HGNC Symbol;Acc:26981],13,44482850,44604597,LINC00284,lincRNA
ENSG00000269011,"Uncharacterized protein; cDNA FLJ43689 fis, clone TBAES2003550  [Source:UniProtKB/TrEMBL;Acc:Q6ZUI3]",21,15051621,15053459,AL050303.1,protein_coding
ENSG00000168675,low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224],18,13217497,13652754,LDLRAD4,protein_coding
ENSG00000226519,long intergenic non-protein coding RNA 390 [Source:HGNC Symbol;Acc:42718],13,44680514,44711372,LINC00390,lincRNA
ENSG00000265369,Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012],18,24267585,24283602,U3,lincRNA
ENSG00000263677,,18,24268075,24269632,RP11-17A19.2,lincRNA
ENSG00000230731,,13,44808254,44817328,RP11-478K15.6,lincRNA
ENSG00000263382,,18,24402777,24403943,RP11-552O4.1,lincRNA
ENSG00000237361,long intergenic non-protein coding RNA 1071 [Source:HGNC Symbol;Acc:49111],13,44974386,44980120,LINC01071,lincRNA
ENSG00000265374,,18,24805706,24827152,RP11-57J16.1,lincRNA
ENSG00000188992,"lipase, member I [Source:HGNC Symbol;Acc:18821]",21,15481134,15583166,LIPI,protein_coding
ENSG00000237585,long intergenic non-protein coding RNA 407 [Source:HGNC Symbol;Acc:42739],13,45225948,45275152,LINC00407,lincRNA
ENSG00000235097,long intergenic non-protein coding RNA 330 [Source:HGNC Symbol;Acc:42047],13,45373639,45383766,LINC00330,lincRNA
ENSG00000223732,,13,45556212,45657260,RP11-321C24.1,lincRNA
ENSG00000185272,RNA binding motif protein 11 [Source:HGNC Symbol;Acc:9897],21,15588451,15600693,RBM11,protein_coding
ENSG00000182974,"olfactory receptor, family 4, subfamily M, member 2 [Source:HGNC Symbol;Acc:15373]",15,22368478,22369561,OR4M2,protein_coding
ENSG00000226983,,21,26212864,26430059,AP000235.2,lincRNA
ENSG00000183706,"olfactory receptor, family 4, subfamily N, member 4 [Source:HGNC Symbol;Acc:15375]",15,22382382,22383507,OR4N4,protein_coding
ENSG00000227090,,21,26258990,26275070,AP000402.3,lincRNA
ENSG00000230379,,21,26310745,26365129,AP000146.2,lincRNA
ENSG00000269182,,15,22456895,22460351,AC010760.1,protein_coding
ENSG00000244278,,21,26427848,26442219,AP000235.3,lincRNA
ENSG00000155304,"heat shock protein 70kDa family, member 13 [Source:HGNC Symbol;Acc:11375]",21,15743436,15755805,HSPA13,protein_coding
ENSG00000228886,,13,45924458,45925485,RP11-290D2.3,lincRNA
ENSG00000251015,SLC25A30 antisense RNA 1 [Source:HGNC Symbol;Acc:42795],13,45992297,45994506,SLC25A30-AS1,lincRNA
ENSG00000197414,golgin A6 family-like 1 [Source:HGNC Symbol;Acc:37444],15,22736246,22746002,GOLGA6L1,protein_coding
ENSG00000232512,7SK RNA [Source:RFAM;Acc:RF00100],21,26467335,26475983,7SK,lincRNA
ENSG00000223870,,21,26499782,26507561,AP000233.3,lincRNA
ENSG00000222042,,21,26541745,26706139,AP000233.4,lincRNA
ENSG00000261097,long intergenic non-protein coding RNA 563 [Source:HGNC Symbol;Acc:43707],13,46870580,46871979,LINC00563,lincRNA
ENSG00000166200,COP9 signalosome subunit 2 [Source:HGNC Symbol;Acc:30747],15,49398268,49447858,COPS2,protein_coding
ENSG00000155307,"SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:10528]",21,15857549,15955723,SAMSN1,protein_coding
ENSG00000243440,Protein LOC388813  [Source:UniProtKB/TrEMBL;Acc:H7C1N6],21,15964251,16031142,AF165138.7,protein_coding
ENSG00000231817,,13,47029270,47060641,RP11-189B4.6,lincRNA
ENSG00000228573,,13,48399465,48410091,RP11-279N8.1,lincRNA
ENSG00000153575,"tubulin, gamma complex associated protein 5 [Source:HGNC Symbol;Acc:18600]",15,22833395,22873892,TUBGCP5,protein_coding
ENSG00000234689,long intergenic non-protein coding RNA 444 [Source:HGNC Symbol;Acc:42781],13,48479464,48481492,LINC00444,lincRNA
ENSG00000260388,long intergenic non-protein coding RNA 562 [Source:HGNC Symbol;Acc:43706],13,48504290,48506757,LINC00562,lincRNA
ENSG00000231473,long intergenic non-protein coding RNA 441 [Source:HGNC Symbol;Acc:42778],13,48870649,48877797,LINC00441,lincRNA
ENSG00000264151,,18,24916343,25175128,RP11-739N10.1,lincRNA
ENSG00000233456,long intergenic non-protein coding RNA 1077 [Source:HGNC Symbol;Acc:49120],13,49144775,49147453,LINC01077,lincRNA
ENSG00000180530,nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:8001],21,16333556,16437321,NRIP1,protein_coding
ENSG00000233610,long intergenic non-protein coding RNA 462 [Source:HGNC Symbol;Acc:42811],13,49151110,49152224,LINC00462,lincRNA
ENSG00000264790,,18,24923216,24926074,RP11-26N15.2,lincRNA
ENSG00000263611,,18,24977916,24981868,RP11-612A1.1,lincRNA
ENSG00000137824,regulator of microtubule dynamics 3 [Source:HGNC Symbol;Acc:25550],15,41028082,41048049,RMDN3,protein_coding
ENSG00000265994,,18,26365032,26369224,RP11-510D21.1,lincRNA
ENSG00000259458,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:H0YL51],15,62929371,62937490,RP11-625H11.1,protein_coding
ENSG00000265980,,18,26858474,26941928,CTD-2515C13.2,lincRNA
ENSG00000264587,,18,27098224,27128206,RP11-784B15.1,lincRNA
ENSG00000266196,,18,28293241,28294252,RP11-675P14.1,lincRNA
ENSG00000265670,,18,28534786,28560883,RP11-25I11.1,lincRNA
ENSG00000261521,,18,28638806,28639359,RP11-408H20.1,lincRNA
ENSG00000185433,long intergenic non-protein coding RNA 158 [Source:HGNC Symbol;Acc:1283],21,26758133,26804013,LINC00158,lincRNA
ENSG00000229962,,21,26887785,26890650,AP000221.1,lincRNA
ENSG00000234883,MIR155 host gene (non-protein coding) [Source:HGNC Symbol;Acc:35460],21,26934221,26947480,MIR155HG,lincRNA
ENSG00000266521,,18,29076608,29077158,RP11-650P15.1,lincRNA
ENSG00000229323,,13,51095069,51101585,RP11-175B12.2,lincRNA
ENSG00000137880,GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:4194],15,41056218,41059906,GCHFR,protein_coding
ENSG00000229025,,21,27722099,27722953,AP001595.1,lincRNA
ENSG00000104129,"DnaJ (Hsp40) homolog, subfamily C, member 17 [Source:HGNC Symbol;Acc:25556]",15,41060067,41099675,DNAJC17,protein_coding
ENSG00000177150,"family with sequence similarity 210, member A [Source:HGNC Symbol;Acc:28346]",18,13663346,13726662,FAM210A,protein_coding
ENSG00000263688,,18,30161491,30162791,RP11-386P4.1,lincRNA
ENSG00000155313,ubiquitin specific peptidase 25 [Source:HGNC Symbol;Acc:12624],21,17102344,17252377,USP25,protein_coding
ENSG00000231236,,21,28731204,28820898,AP001604.3,lincRNA
ENSG00000236332,,21,28733483,28768106,AP001605.4,lincRNA
ENSG00000226792,long intergenic non-protein coding RNA 371 [Source:HGNC Symbol;Acc:42693],13,51656984,51746524,LINC00371,lincRNA
ENSG00000101638,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5 [Source:HGNC Symbol;Acc:17827]",18,44259081,44339220,ST8SIA5,protein_coding
ENSG00000232560,chromosome 21 open reading frame 37 [Source:HGNC Symbol;Acc:1277],21,18811208,18821503,C21orf37,protein_coding
ENSG00000154639,coxsackie virus and adenovirus receptor [Source:HGNC Symbol;Acc:2559],21,18884700,18965897,CXADR,protein_coding
ENSG00000101654,RNA (guanine-7-) methyltransferase [Source:HGNC Symbol;Acc:10075],18,13726659,13764557,RNMT,protein_coding
ENSG00000078043,"protein inhibitor of activated STAT, 2 [Source:HGNC Symbol;Acc:17311]",18,44388353,44500123,PIAS2,protein_coding
ENSG00000156958,galactokinase 2 [Source:HGNC Symbol;Acc:4119],15,49447853,49660066,GALK2,protein_coding
ENSG00000154640,"BTG family, member 3 [Source:HGNC Symbol;Acc:1132]",21,18965971,18985265,BTG3,protein_coding
ENSG00000234052,,21,29011012,29025810,AP001607.1,lincRNA
ENSG00000188277,chromosome 15 open reading frame 62 [Source:HGNC Symbol;Acc:34489],15,41062159,41064643,C15orf62,protein_coding
ENSG00000249139,EPPIN-WFDC6 readthrough [Source:HGNC Symbol;Acc:38825],20,44165625,44176065,EPPIN-WFDC6,protein_coding
ENSG00000225298,long intergenic non-protein coding RNA 113 [Source:HGNC Symbol;Acc:1264],21,29094698,29123552,LINC00113,lincRNA
ENSG00000251161,,15,41199009,41201540,RP11-540O11.1,lincRNA
ENSG00000234083,,21,29327240,29357614,AJ006995.3,lincRNA
ENSG00000178457,long intergenic non-protein coding RNA 314 [Source:HGNC Symbol;Acc:16622],21,29385682,29395552,LINC00314,lincRNA
ENSG00000158901,WAP four-disulfide core domain 8 [Source:HGNC Symbol;Acc:16163],20,44179792,44207965,WFDC8,protein_coding
ENSG00000140416,tropomyosin 1 (alpha) [Source:HGNC Symbol;Acc:12010],15,63334831,63364114,TPM1,protein_coding
ENSG00000180205,WAP four-disulfide core domain 9 [Source:HGNC Symbol;Acc:20380],20,44236578,44259907,WFDC9,protein_coding
ENSG00000154642,chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:16459],21,19161284,19191703,C21orf91,protein_coding
ENSG00000267642,,18,31132087,31158151,RP11-258B16.1,lincRNA
ENSG00000268573,,18,32860831,32870165,RP11-158H5.7,lincRNA
ENSG00000267583,,18,33023833,33047052,RP11-322E11.5,lincRNA
ENSG00000267397,,18,33296334,33297942,RP11-873E20.1,lincRNA
ENSG00000140577,CREB regulated transcription coactivator 3 [Source:HGNC Symbol;Acc:26148],15,91073157,91188577,CRTC3,protein_coding
ENSG00000166140,"zinc finger, FYVE domain containing 19 [Source:HGNC Symbol;Acc:20758]",15,41099284,41106767,ZFYVE19,protein_coding
ENSG00000267627,,18,33531766,33546081,RP11-905K4.1,lincRNA
ENSG00000101138,"cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa [Source:HGNC Symbol;Acc:2483]",20,54967427,54979518,CSTF1,protein_coding
ENSG00000267651,,18,34814082,34816205,RP11-95O2.1,lincRNA
ENSG00000154645,chondrolectin [Source:HGNC Symbol;Acc:17807],21,19273580,19639690,CHODL,protein_coding
ENSG00000268566,,18,36235173,36267962,RP11-687D19.1,lincRNA
ENSG00000267374,long intergenic non-protein coding RNA 669 [Source:HGNC Symbol;Acc:44332],18,36786888,37380282,LINC00669,lincRNA
ENSG00000235660,long intergenic non-protein coding RNA 345 [Source:HGNC Symbol;Acc:42503],13,53058296,53058815,LINC00345,lincRNA
ENSG00000180305,WAP four-disulfide core domain 10A [Source:HGNC Symbol;Acc:16139],20,44258165,44259835,WFDC10A,protein_coding
ENSG00000244471,,13,53063128,53073440,RP11-78J21.4,lincRNA
ENSG00000068793,cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:13759],15,22892005,23006016,CYFIP1,protein_coding
ENSG00000267413,,18,37421138,37504804,RP11-636O21.1,lincRNA
ENSG00000180083,WAP four-disulfide core domain 11 [Source:HGNC Symbol;Acc:20478],20,44277202,44298909,WFDC11,protein_coding
ENSG00000260926,,15,41901664,41904925,RP11-380D11.2,lincRNA
ENSG00000261715,,18,37646250,37679197,RP11-653G8.2,lincRNA
ENSG00000260814,,15,42062954,42064930,RP11-107F6.3,lincRNA
ENSG00000182931,WAP four-disulfide core domain 10B [Source:HGNC Symbol;Acc:20479],20,44313292,44333658,WFDC10B,protein_coding
ENSG00000267313,,18,39047395,39212149,RP11-142I20.1,lincRNA
ENSG00000154646,"transmembrane protease, serine 15 [Source:HGNC Symbol;Acc:9490]",21,19641433,19858197,TMPRSS15,protein_coding
ENSG00000168634,WAP four-disulfide core domain 13 [Source:HGNC Symbol;Acc:16131],20,44330655,44337456,WFDC13,protein_coding
ENSG00000260988,,15,78433585,78435515,RP11-285A1.1,lincRNA
ENSG00000149651,"serine peptidase inhibitor, Kunitz type 4 [Source:HGNC Symbol;Acc:16130]",20,44350990,44354469,SPINT4,protein_coding
ENSG00000267586,long intergenic non-protein coding RNA 907 [Source:HGNC Symbol;Acc:44327],18,39739247,40271387,LINC00907,lincRNA
ENSG00000101365,isocitrate dehydrogenase 3 (NAD+) beta [Source:HGNC Symbol;Acc:5385],20,2639041,2644865,IDH3B,protein_coding
ENSG00000167216,katanin p60 subunit A-like 2 [Source:HGNC Symbol;Acc:25387],18,44497455,44627658,KATNAL2,protein_coding
ENSG00000124116,WAP four-disulfide core domain 3 [Source:HGNC Symbol;Acc:15957],20,44376583,44420571,WFDC3,protein_coding
ENSG00000237092,long intergenic non-protein coding RNA 1065 [Source:HGNC Symbol;Acc:49103],13,53720674,53725943,LINC01065,lincRNA
ENSG00000087589,Cas scaffolding protein family member 4 [Source:HGNC Symbol;Acc:15878],20,54987168,55034396,CASS4,protein_coding
ENSG00000261517,long intergenic non-protein coding RNA 558 [Source:HGNC Symbol;Acc:43702],13,54389554,54450254,LINC00558,lincRNA
ENSG00000234787,long intergenic non-protein coding RNA 458 [Source:HGNC Symbol;Acc:42807],13,54689924,54707001,LINC00458,lincRNA
ENSG00000236532,,21,29488413,29600986,AL035610.2,lincRNA
ENSG00000154654,neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:7657],21,22370633,22915650,NCAM2,protein_coding
ENSG00000232855,,21,29811667,30047170,AF131217.1,lincRNA
ENSG00000226935,long intergenic non-protein coding RNA 161 [Source:HGNC Symbol;Acc:17138],21,29911640,29912677,LINC00161,lincRNA
ENSG00000259234,,15,79484049,79576287,RP11-17L5.4,lincRNA
ENSG00000166143,"protein phosphatase 1, regulatory (inhibitor) subunit 14D [Source:HGNC Symbol;Acc:14953]",15,41107650,41120907,PPP1R14D,protein_coding
ENSG00000232954,long intergenic non-protein coding RNA 374 [Source:HGNC Symbol;Acc:42698],13,58785831,58807251,LINC00374,lincRNA
ENSG00000261712,,15,79705700,79706228,RP11-358L4.1,lincRNA
ENSG00000166262,"family with sequence similarity 227, member B [Source:HGNC Symbol;Acc:26543]",15,49619159,49913128,FAM227B,protein_coding
